Certainty.to.vote.in.general.election.10.is.certain,GEVote,DidyouvoteGE2015,Past.vote,Eurefvote,Certainty.to.vote.in.EU.referendum.10.is.certain,Gender,Age,Region,Ethnicity,Education,Housing,mosaic_2014_groups,parliamentary_constituency,local_authority
"",Dont.know,Yes.I.voted,Conservative,Leave,10,Male,72,Wales,White,Level.1,Owned.outright.by.household,E,W07000058,W06000003
"",Labour,Yes.I.voted,Labour,Remain,6,Female,70,Wales,White,No.qualifications,Owned.outright.by.household,M,W07000074,W06000016
0,None.-.wont.vote,No.I.chose.not.to.vote,"",Leave,10,Male,44,South.West,White,No.qualifications,Owned.outright.by.household,H,S14000048,S12000021
10,Labour,Yes.I.voted,Labour,Remain,10,Female,59,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,B,S14000020,S12000010
"",Dont.know,No.I.chose.not.to.vote,"",Leave,10,Female,23,London,White,Level.2,Social.housing.rented.other.than.from.council/local.authority,I,E14000540,E09000002
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,50,South.West,White,Level.2,Rented.from.council/local.authority,I,E14000600,E06000023
"",Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,10,Male,67,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,B,S14000053,S12000038
10,Labour,Yes.I.voted,Labour,Leave,"",Male,56,Scotland,White,Level.3,Rented.from.Local.Authority,I,S14000020,S12000010
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,48,East.Midlands,White,Level.4,Being.bought.on.a.mortgage,B,E14000908,E07000176
10,UKIP,Yes.I.voted,UKIP,Leave,"",Female,54,Yorkshire.and.The.Humber,White,Level.1.or.2,Rented.from.Housing.Association,K,E14000777,E08000035
10,Liberal.Democrat,Yes.I.voted,Labour,Remain,10,Female,27,London,Black/Black.British,Level.2,Rented.from.a.private.landlord.or.letting.agency,A,E14000549,E09000032
4,Conservative,No.I.chose.not.to.vote,blank,Leave,7,Male,67,North.East,White,No.formal.qualifications,Owned.outright.by.household,K,E14000820,E06000002
10,Conservative,Yes.I.voted,Conservative,Dont.know,10,Female,66,East.of.England,White,Other,Owned.outright.by.household,E,E14000888,E07000066
"",Dont.know,Yes.I.voted,Dont.remember,Leave,1,Female,32,Wales,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,J,W07000062,W06000006
5,Green.Party,Cant.remember,"",Remain,8,Male,37,North.West,White,0,Rented.from.a.private.landlord.or.letting.agency,K,E14000969,E08000007
6,Green.Party,No.I.wanted.to.vote.but.was.unable.to.do.so,blank,Remain,5,Female,19,London,White,Level.4,Being.bought.on.a.mortgage,O,E14000887,E09000032
10,Dont.know,Yes.I.voted,Conservative,Remain,10,Female,54,East.of.England,White,Level.1,Owned.outright.by.household,J,E14000833,E08000021
0,None.-.wont.vote,No.I.chose.not.to.vote,"",Would.not.vote,0,Male,19,North.West,White,No.qualifications,Rented.from.a.private.landlord.or.letting.agency,N,E14000948,E07000114
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,34,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,G,S14000011,S12000044
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Would.not.vote,3,Prefer.not.to.say,34,Scotland,Other.ethnic.group,Level.1,Owned.with.a.mortgage.or.loan,M,S14000029,S12000046
"",Dont.know,Yes.I.voted,Labour,Leave,10,Female,50,London,White,Level.4,Rented.from.council/local.authority,I,E14000869,E09000004
10,UKIP,Yes.I.voted,UKIP,Leave,10,Female,71,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,M,S14000047,S12000044
"",Dont.know,Yes.I.voted,Conservative,Remain,10,Female,55,Wales,White,Level.4,Owned.outright.by.household,C,W07000058,W06000003
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Dont.know,10,Female,67,Wales,White,Level.4,Owned.outright.by.household,C,W07000064,W06000008
"",UKIP,Yes.I.voted,Conservative,Leave,10,Male,49,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,F,S14000015,S12000042
7,UKIP,Yes.I.voted,Labour,Leave,10,Female,32,North.West,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,O,E14000532,E08000009
5,Scottish.National.Party.SNP,No.I.chose.not.to.vote,0,Dont.know,6,Female,30,Scotland,White,Level.1,Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency,O,S14000043,S12000040
10,UKIP,Yes.I.voted,UKIP,Leave,7,Female,31,Yorkshire.and.The.Humber,White,Other,Being.bought.on.a.mortgage,G,E14000667,E08000017
10,Labour,Yes.I.voted,Labour,"","",Female,41,Yorkshire.and.The.Humber,White,Dont.know,Other/Dont.know,L,E14000826,E08000035
"",Dont.know,Yes.I.voted,Dont.remember,Dont.know,10,Female,63,Wales,White,Level.1,Owned.outright.by.household,B,W07000078,W06000014
"",Would.not.vote,Yes.I.voted,Labour,Leave,10,Male,34,London,Black./.African./.Caribbean./.Black.British,Level.4,Social.housing.rented.other.than.from.council/local.authority,K,E14000540,E09000002
7,Dont.know,No.I.chose.not.to.vote,blank,Leave,10,Male,53,North.West,White,No.formal.qualifications,Owned.outright.by.household,B,E14001017,E06000007
"",Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,2,Male,35,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,I,S14000015,S12000042
10,Conservative,Yes.I.voted,Conservative,Remain,"",Female,44,South.East,White,Level.3,Being.bought.on.a.mortgage,H,E14000536,E07000105
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,65,North.West,White,Level.2,Owned.outright.by.household,M,E14000820,E06000002
10,Labour,Yes.I.voted,Labour,Leave,10,Male,56,Wales,White,No.qualifications,Rented.from.council/local.authority,F,W07000071,W06000024
10,Labour,Yes.I.voted,Labour,"","",Female,48,North.West,White,Level.4,Being.bought.on.a.mortgage,J,E14000775,E08000011
10,Labour,Yes.I.voted,Labour,"","",Female,68,Scotland,White,Level.1.or.2,Rented.from.Housing.Association,L,S14000006,S12000028
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,58,South.East,Prefer.not.to.say,0,Owned.with.a.mortgage.or.loan,M,E14000558,E09000004
10,Labour,Yes.I.voted,Labour,Leave,10,Female,45,London,White,Other,Rented.from.council/local.authority,A,E14000546,E07000171
10,Conservative,Yes.I.voted,Conservative,"","",Male,67,North.East,White,Level.1.or.2,Owned.outright.by.household,G,E14000754,E08000024
9,Conservative,Yes.I.voted,Conservative,Leave,10,Female,29,East.Midlands,White,Level.2,Owned.outright.by.household,H,E14000822,E06000042
10,Dont.know,Yes.I.voted,Labour,Dont.know,10,Male,65,South.West,White,Level.3,Prefer.not.to.say,D,E14000938,E06000052
10,Labour,Yes.I.voted,Conservative,Leave,10,Female,40,East.Midlands,White,Level.2,Owned.with.a.mortgage.or.loan,H,E14000814,E06000015
10,Green.Party,Yes.I.voted,Green.Party,Leave,10,Female,25,East.Midlands,White,Level.1,Rented.from.council/local.authority,O,E14000797,E07000130
10,UKIP,No.I.wanted.to.vote.but.was.unable.to.do.so,blank,Leave,10,Male,23,North.West,White,Level.1.or.2,Rented.from.Local.Authority,K,E14001018,E06000007
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,"","",Female,23,Scotland,White,Level.3,Being.bought.on.a.mortgage,G,S14000029,S12000046
6,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,9,Female,Prefer.not.to.say,Yorkshire.and.The.Humber,White,Level.4,Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency,C,S14000001,S12000033
5,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,10,Male,37,North.West,White,Other,Rented.from.private.landlord,J,E14000559,E08000015
"",Labour,Yes.I.voted,Liberal.Democrat,Remain,10,Male,44,London,White,Level.4,Owned.with.a.mortgage.or.loan,H,E14000621,E09000029
5,Labour,Yes.I.voted,Labour,Dont.know,10,Prefer.not.to.say,46,South.East,White,Level.1,Prefer.not.to.say,G,E14000586,E06000036
"",UKIP,Yes.I.voted,UKIP,Leave,10,Male,68,London,White,0,Rented.from.council/local.authority,L,E14000770,E09000021
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,7,Male,45,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,I,S14000036,S12000015
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,48,Wales,White,Level.2,Owned.outright.by.household,C,W07000044,W06000006
"",Conservative,Yes.I.voted,Conservative,Leave,10,Female,62,Scotland,White,Level.1,Owned.outright.by.household,F,S14000026,S12000036
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,62,Scotland,White,Apprenticeship,Owned.with.a.mortgage.or.loan,B,S14000028,S12000014
1,Labour,Yes.I.voted,Labour,Remain,1,Male,52,East.of.England,White,Level.3,Owned.outright.by.household,F,E14000952,E07000143
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,40,North.West,White,Other,Being.bought.on.a.mortgage,F,E14001043,E08000015
9,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,blank,Dont.know,7,Female,58,South.East,White,Other,Rented.from.private.landlord,J,E14000948,E07000114
"",Would.not.vote,No.I.chose.not.to.vote,"",Would.not.vote,0,Male,32,London,White,No.qualifications,Rented.from.council/local.authority,K,E14000764,E09000019
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,49,North.West,White,Level.4,Owned.outright.by.household,O,E14000571,E08000006
10,Dont.know,Yes.I.voted,Liberal.Democrat,Dont.know,10,Female,Prefer.not.to.say,South.East,White,Level.4,Prefer.not.to.say,G,E14000840,E06000047
4,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,blank,Remain,4,Female,69,Scotland,White,Dont.know,Owned.outright.by.household,K,S14000030,S12000046
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Male,49,Scotland,White,Level.1,Owned.outright.by.household,F,S14000039,S12000017
10,Dont.know,Yes.I.voted,Conservative,Remain,10,Male,58,West.Midlands,White,Other,Owned.with.a.mortgage.or.loan,F,E14000995,E06000034
10,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,"",Remain,6,Male,27,South.West,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,F,E14000880,E06000026
2,Conservative,Yes.I.voted,Conservative,Remain,4,Male,69,North.West,White,Level.4,Owned.with.a.mortgage.or.loan,E,E14000644,E07000071
10,Conservative,Yes.I.voted,Conservative,"","",Male,71,West.Midlands,White,Level.4,Rented.from.private.landlord,blank,E14001019,E07000222
10,Dont.know,Yes.I.voted,UKIP,Remain,10,Male,68,Yorkshire.and.The.Humber,White,Level.1.or.2,Rented.from.Housing.Association,L,E14000993,E07000167
10,Other.party,Yes.I.voted,Labour,Dont.know,9,Male,47,Wales,White,Level.2,Rented.from.council/local.authority,J,W07000046,W06000011
10,Labour,Yes.I.voted,Conservative,Remain,10,Female,59,Yorkshire.and.The.Humber,White,Level.1,Owned.with.a.mortgage.or.loan,M,E14000542,E08000016
1,Conservative,Yes.I.voted,UKIP,Leave,10,Male,60,West.Midlands,White,Level.1.or.2,Being.bought.on.a.mortgage,B,E14001035,E07000235
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,65,South.East,White,0,Owned.outright.by.household,C,E14000557,E07000064
10,Conservative,Yes.I.voted,Liberal.Democrat,"","",Female,49,East.of.England,White,Level.4,Being.bought.on.a.mortgage,B,E14000813,E06000056
10,Labour,Yes.I.voted,Labour,"","",Female,36,Wales,White,Level.3,Rented.from.Local.Authority,L,W07000078,W06000014
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Remain,"",Female,29,Wales,White,Level.4,Being.bought.on.a.mortgage,O,W07000079,W06000015
7,Green.Party,No.I.was.ineligible.to.vote.in.that.General.Election,0,Remain,10,Female,29,London,White,Level.4,Rented.from.private.landlord,N,E14001032,E09000025
2,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,9,Female,Prefer.not.to.say,Yorkshire.and.The.Humber,White,0,Owned.with.a.mortgage.or.loan,I,S14000046,S12000020
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,61,Scotland,White,No.qualifications,Rented.from.council/local.authority,K,S14000047,S12000044
"",Labour,Yes.I.voted,Labour,Leave,8,Female,75,Wales,White,No.qualifications,Owned.outright.by.household,L,W07000055,W06000022
10,Labour,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Remain,10,Male,36,South.East,Prefer.not.to.say,Level.4,Being.bought.on.a.mortgage,J,E14000890,E06000038
"",Green.Party,Yes.I.voted,Green.Party,Remain,10,Male,38,Wales,White,Level.3,Rented.from.a.private.landlord.or.letting.agency,C,W07000067,W06000010
10,Labour,Yes.I.voted,Labour,"","",Female,60,Yorkshire.and.The.Humber,White,Level.4,Rented.from.Local.Authority,L,E14000780,E08000035
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,57,South.West,White,Other,Owned.outright.by.household,E,E14000912,E06000054
1,None.-.wont.vote,No.I.wanted.to.vote.but.was.unable.to.do.so,0,Leave,10,Female,72,London,White,Level.1.or.2,Rented.from.Local.Authority,K,E14000593,E09000018
10,Conservative,No.I.was.ineligible.to.vote.in.that.General.Election,0,Leave,"",Male,31,East.Midlands,White,Level.4,Rented.from.private.landlord,M,E14000810,E07000174
10,Liberal.Democrat,Yes.I.voted,Liberal.Democrat,Dont.know,10,Female,74,East.of.England,White,Level.4,Owned.outright.by.household,L,E14000848,E07000147
10,Conservative,Yes.I.voted,Conservative,Remain,10,Female,32,London,White,Level.1,Shared.ownership.part.owned.and.part.rented,O,E14000718,E09000011
1,None.-.wont.vote,No.I.chose.not.to.vote,0,Leave,8,Female,Prefer.not.to.say,West.Midlands,White,Level.1.or.2,Rented.from.Local.Authority,L,E14001011,E08000030
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,33,London,White,Level.4,Owned.with.a.mortgage.or.loan,A,E14000629,E09000013
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,50,Unknown,White,Level.4,Owned.outright.by.household,C,E14000550,E07000007
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,44,East.Midlands,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,D,E14000929,E07000139
"",Conservative,Yes.I.voted,Conservative,Leave,10,Female,61,Wales,White,Level.1,Rented.from.council/local.authority,D,W07000068,W06000023
"",Conservative,Yes.I.voted,Conservative,Remain,10,Female,46,London,White,Level.4,Rented.from.a.private.landlord.or.letting.agency,A,E14000549,E09000032
10,Conservative,Yes.I.voted,Conservative,"","",Male,50,East.Midlands,White,Level.4,Being.bought.on.a.mortgage,E,E14000798,E07000137
"",Would.not.vote,No.I.chose.not.to.vote,"",Remain,8,Male,46,London,White,Level.4,Owned.with.a.mortgage.or.loan,A,E14000887,E09000032
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,5,Male,54,Scotland,White,0,Prefer.not.to.say,D,S14000050,S12000024
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,43,Scotland,White,Level.4,Being.bought.on.a.mortgage,C,S14000050,S12000024
10,Labour,Yes.I.voted,Labour,Dont.know,10,Female,40,North.East,White,Level.4,Being.bought.on.a.mortgage,M,E14000853,E08000022
10,Labour,Yes.I.voted,Labour,Remain,9,Female,25,Wales,White,Level.1,Rented.from.council/local.authority,J,W07000072,W06000019
"",Labour,Yes.I.voted,Labour,Remain,10,Male,42,London,White,Level.1,Shared.ownership.part.owned.and.part.rented,K,E14000701,E09000018
10,Conservative,Yes.I.voted,Conservative,Leave,10,Male,45,Yorkshire.and.The.Humber,White,Level.1,Owned.with.a.mortgage.or.loan,M,E14000876,E08000019
10,Labour,Yes.I.voted,Labour,Remain,"",Female,31,North.West,Asian/Asian.British,Level.4,Rented.from.Housing.Association,N,E14000570,E06000008
9,Dont.know,Yes.I.voted,Conservative,Remain,9,Female,30,East.Midlands,White,Level.2,Owned.with.a.mortgage.or.loan,H,E14000935,E07000039
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,34,East.of.England,White,Level.3,Rented.from.private.landlord,I,E14000642,E07000076
"",Labour,Yes.I.voted,Labour,Remain,10,Female,61,Scotland,White,Level.4,Owned.outright.by.household,O,S14000004,S12000041
10,Dont.know,Yes.I.voted,Labour,"","",Female,Prefer.not.to.say,Scotland,White,Level.1.or.2,Prefer.not.to.say,D,S14000007,S12000034
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,65,North.East,White,Level.1,Owned.outright.by.household,F,E14000819,E06000002
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,32,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,H,E14000586,E06000041
"",Dont.know,No.I.chose.not.to.vote,"",Remain,8,Female,59,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,C,W07000063,W06000023
1,None.-.wont.vote,No.I.chose.not.to.vote,"",Would.not.vote,0,Female,52,Wales,White,Level.1,Owned.with.a.mortgage.or.loan,C,W07000045,W06000010
10,Labour,Yes.I.voted,Labour,Remain,10,Male,71,North.West,White,Level.1.or.2,Owned.outright.by.household,M,E14000775,E08000011
5,Conservative,Yes.I.voted,Conservative,Remain,10,Female,36,North.West,White,Level.3,Owned.with.a.mortgage.or.loan,H,E14001057,E07000123
"",UKIP,Yes.I.voted,UKIP,Leave,10,Female,35,Wales,White,Level.2,Rented.from.a.private.landlord.or.letting.agency,K,W07000065,W06000009
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,27,Yorkshire.and.The.Humber,White,0,Owned.outright.by.household,O,E14001036,E09000033
"",Conservative,No.I.was.ineligible.to.vote.in.that.General.Election,"",Remain,10,Male,70,London,White,Level.4,Owned.outright.by.household,A,E14000768,E09000020
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,68,Wales,White,Level.2,Owned.outright.by.household,B,W07000060,W06000004
1,None.-.wont.vote,Yes.I.voted,Labour,Leave,10,Female,64,West.Midlands,White,Level.4,Rented.from.Housing.Association,I,E14000973,E06000021
1,None.-.wont.vote,No.I.chose.not.to.vote,"",Would.not.vote,10,Female,74,Yorkshire.and.The.Humber,White,No.qualifications,Shared.ownership.part.owned.and.part.rented,E,E14000920,E08000019
10,Labour,Yes.I.voted,Labour,Remain,10,Male,65,South.East,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,O,E14000898,E06000035
10,Conservative,Yes.I.voted,Conservative,Remain,10,Male,50,East.of.England,White,No.formal.qualifications,Being.bought.on.a.mortgage,F,E14000744,E07000242
"",Conservative,Yes.I.voted,Conservative,Leave,10,Female,63,Wales,White,Level.1,Owned.outright.by.household,G,W07000051,W06000015
8,Dont.know,No.I.wanted.to.vote.but.was.unable.to.do.so,0,"","",Female,Prefer.not.to.say,East.of.England,White,Other,Being.bought.on.a.mortgage,H,E14000934,E07000012
2,UKIP,No.I.chose.not.to.vote,0,"","",Female,28,East.of.England,White,Level.3,Being.bought.on.a.mortgage,O,E14000739,E07000096
10,Green.Party,Yes.I.voted,Green.Party,Remain,10,Male,31,East.of.England,White,Level.4,Being.bought.on.a.mortgage,H,E14000941,E07000149
"",Scottish.National.Party.SNP,No.I.chose.not.to.vote,"",Dont.know,1,Male,37,Scotland,White,0,Prefer.not.to.say,J,S14000046,S12000020
Dont.know,Dont.know,Cant.remember,"",Dont.know,Dont.know,Female,31,Scotland,White,Level.1,Rented.from.council/local.authority,J,S14000006,S12000028
"",Conservative,Yes.I.voted,Conservative,Dont.know,8,Female,51,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,F,S14000004,S12000041
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,7,Female,64,West.Midlands,White,Level.1,Owned.with.a.mortgage.or.loan,M,S14000002,S12000033
10,Dont.know,Yes.I.voted,Conservative,Dont.know,10,Female,72,East.Midlands,White,No.qualifications,Prefer.not.to.say,N,E14000782,E06000016
10,Labour,Yes.I.voted,Labour,Dont.know,10,Male,31,Scotland,White,Level.3,Rented.from.private.landlord,M,S14000034,S12000046
"",Would.not.vote,No.I.chose.not.to.vote,"",Would.not.vote,2,Male,42,Wales,White,0,Rented.from.council/local.authority,I,W07000060,W06000004
7,Conservative,Yes.I.voted,Conservative,Leave,10,Male,46,Yorkshire.and.The.Humber,White,Level.2,Owned.with.a.mortgage.or.loan,M,E14000772,E06000010
"",Labour,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Male,51,Scotland,White,Level.1,Owned.outright.by.household,F,S14000011,S12000044
8,Labour,Yes.I.voted,Labour,Remain,9,Male,49,South.East,White,Level.4,Owned.with.a.mortgage.or.loan,H,E14000633,E07000225
10,UKIP,Yes.I.voted,UKIP,"","",Male,25,North.West,White,Level.4,Being.bought.on.a.mortgage,J,E14000911,E08000006
10,Labour,Yes.I.voted,Labour,Leave,10,Female,53,North.West,White,Level.2,Owned.with.a.mortgage.or.loan,H,E14000958,E08000014
10,Dont.know,No.I.chose.not.to.vote,"",Dont.know,5,Female,25,Yorkshire.and.The.Humber,White,Level.1,Social.housing.rented.other.than.from.council/local.authority,M,E14000588,E08000032
"",Dont.know,Yes.I.voted,Dont.remember,Remain,10,Female,74,Scotland,White,Other,Rented.from.council/local.authority,D,S14000005,S12000035
10,Labour,Yes.I.voted,Green.Party,Leave,10,Male,65,Yorkshire.and.The.Humber,White,Level.1,Rented.from.council/local.authority,M,E14000864,E07000148
10,Conservative,Yes.I.voted,Conservative,Remain,9,Male,54,North.West,White,Level.2,Owned.with.a.mortgage.or.loan,G,E14001010,E08000015
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,60,West.Midlands,White,Level.2,Owned.outright.by.household,C,E14000849,E06000051
"",Labour,Yes.I.voted,Labour,Leave,10,Male,60,Wales,White,Level.4,Owned.with.a.mortgage.or.loan,D,W07000067,W06000010
10,Labour,Yes.I.voted,Labour,Remain,10,Female,62,West.Midlands,White,Level.2,Owned.outright.by.household,E,E14000618,E07000192
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,"",Male,44,Scotland,White,Other,Rented.from.Local.Authority,L,S14000041,S12000015
"",Conservative,Yes.I.voted,Conservative,Leave,10,Female,61,London,White,Level.2,Owned.outright.by.household,F,E14000984,E09000029
10,Conservative,Yes.I.voted,Conservative,Leave,4,Male,25,East.of.England,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,J,E14000851,E06000030
8,Labour,Yes.I.voted,Labour,Dont.know,"",Female,46,West.Midlands,Prefer.not.to.say,Dont.know,Prefer.not.to.say,K,E14000605,E07000234
"",Labour,Yes.I.voted,Labour,Dont.know,Dont.know,Male,72,Wales,White,0,Prefer.not.to.say,E,W07000077,W06000018
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,47,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,B,S14000048,S12000021
5,Dont.know,Yes.I.voted,Conservative,Leave,3,Prefer.not.to.say,41,Wales,White,0,Prefer.not.to.say,M,E14000628,E07000070
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,37,Scotland,White,Level.1,Rented.from.a.private.landlord.or.letting.agency,M,S14000010,S12000028
"",Scottish.National.Party.SNP,Yes.I.voted,Labour,Leave,8,Male,40,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,I,S14000033,S12000046
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Leave,10,Female,44,Scotland,White,Level.1,Rented.from.council/local.authority,K,S14000006,S12000008
1,None.-.wont.vote,No.I.chose.not.to.vote,"",Leave,1,Female,53,London,White,Level.1,Owned.with.a.mortgage.or.loan,K,W07000075,W06000016
"",Green.Party,Yes.I.voted,Labour,Leave,10,Male,62,Scotland,White,Level.3,Owned.with.a.mortgage.or.loan,K,S14000022,S12000036
10,UKIP,Yes.I.voted,UKIP,"","",Female,54,East.Midlands,White,Level.1.or.2,Being.bought.on.a.mortgage,L,E14000662,E06000015
0,None.-.wont.vote,No.I.chose.not.to.vote,"",Dont.know,Dont.know,Female,64,South.West,White,Other,Owned.outright.by.household,F,E14000678,E07000040
"",UKIP,Yes.I.voted,UKIP,Leave,10,Male,61,Wales,White,Level.3,Rented.from.a.private.landlord.or.letting.agency,H,W07000075,W06000016
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,72,East.of.England,White,Level.1,Owned.outright.by.household,G,E14000642,E07000076
10,Conservative,Yes.I.voted,Conservative,Leave,10,Female,70,South.East,White,Level.1,Owned.with.a.mortgage.or.loan,A,E14001048,E06000041
"",Dont.know,Yes.I.voted,Conservative,Leave,10,Male,64,Wales,White,Level.2,Owned.outright.by.household,F,W07000045,W06000010
10,Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Female,35,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,I,S14000016,S12000042
10,Conservative,Yes.I.voted,Liberal.Democrat,Remain,10,Male,36,South.East,White,Level.4,Owned.with.a.mortgage.or.loan,O,E14000555,E09000030
3,None.-.wont.vote,No.I.chose.not.to.vote,"",Remain,2,Female,68,South.East,Prefer.not.to.say,Level.1,Owned.with.a.mortgage.or.loan,C,E14001049,E08000031
7,Conservative,Yes.I.voted,Conservative,Leave,10,Female,71,London,White,Level.3,Owned.outright.by.household,A,E14000727,E09000007
10,UKIP,Yes.I.voted,UKIP,Leave,"",Female,49,North.West,White,Level.3,Owned.outright.by.household,G,E14000825,E07000121
"",Labour,Yes.I.voted,Labour,Leave,1,Female,63,Wales,White,No.qualifications,Rented.from.council/local.authority,D,W07000069,W06000012
2,Labour,Yes.I.voted,Labour,Dont.know,2,Female,58,North.East,White,Level.3,Prefer.not.to.say,F,E14000793,E08000012
"",UKIP,Yes.I.voted,UKIP,Leave,10,Male,61,Wales,White,Other,Owned.outright.by.household,M,W07000049,W06000012
"",Scottish.National.Party.SNP,Cant.remember,"",Remain,3,Female,53,Scotland,White,Level.3,Rented.from.council/local.authority,I,S14000048,S12000021
"",Liberal.Democrat,No.I.was.ineligible.to.vote.in.that.General.Election,"",Remain,10,Female,58,London,Asian./.Asian.British:.Other.Asian,Other,Rented.from.a.private.landlord.or.letting.agency,O,E14000896,E09000027
10,UKIP,Yes.I.voted,UKIP,Leave,10,Male,59,East.of.England,White,Level.2,Owned.outright.by.household,L,E14000693,E07000072
"",Scottish.National.Party.SNP,Yes.I.voted,Conservative,Remain,6,Male,44,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,O,S14000001,S12000033
"",Scottish.National.Party.SNP,No.I.was.ineligible.to.vote.in.that.General.Election,"",Remain,10,Female,42,Scotland,White,Level.4,Rented.from.a.private.landlord.or.letting.agency,A,S14000023,S12000036
10,Labour,Yes.I.voted,Labour,Remain,10,Male,33,Scotland,White,Level.1,Owned.outright.by.household,H,E14000792,E07000138
"",Other.party,Yes.I.voted,Labour,Remain,10,Male,27,London,Asian./.Asian.British:.Indian,Level.1,Privately.rented.from.someone.other.than.a.private.landlord.or.letting.agency,N,E14000741,E09000003
"",Conservative,Yes.I.voted,Conservative,Leave,10,Male,62,Scotland,White,Level.2,Owned.outright.by.household,D,S14000048,S12000021
"",Green.Party,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,51,Scotland,White,Level.1,Owned.with.a.mortgage.or.loan,D,S14000004,S12000041
10,Labour,Yes.I.voted,Labour,Remain,10,Female,66,East.of.England,White,Level.2,Owned.with.a.mortgage.or.loan,M,E14000708,E08000012
"",Scottish.National.Party.SNP,Yes.I.voted,Scottish.National.Party.SNP,Remain,10,Male,44,Scotland,White,Level.2,Owned.with.a.mortgage.or.loan,G,S14000002,S12000033
